id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
80,COMP_M,SimpleCase,ServiceA,M.A,0,4,0,14,Sensor,2.2857142857142856,105.00211608187138,107.28783036758567,91.0,105.00211608187138
92,COMP_M,SimpleCase,ServiceA,M.A,0,10,0,5,Sensor,8.938547486033519,106.00004285714283,114.93859034317634,104.0,106.00004285714283
82,SINK_M,SimpleCase,Actuator,M.B,10,1,5,1,ServiceA,0,106.00018121521325,106.00018121521325,103.93875700984287,106.00018121521325
78,SINK_M,SimpleCase,Actuator,M.B,16,1,11,1,ServiceA,0,107.00018576066779,107.00018576066779,102.03317373386298,107.00018576066779
84,COMP_M,SimpleCase,ServiceA,M.A,0,2,0,12,Sensor,2.2988505747126435,108.00243888888893,110.30128946360158,95.0,108.00243888888893
89,COMP_M,SimpleCase,ServiceA,M.A,0,12,0,7,Sensor,5.063291139240507,108.00271666666671,113.06600780590722,101.0,108.00271666666671
72,SINK_M,SimpleCase,Actuator,M.B,5,1,15,1,ServiceA,0,108.06509568469507,108.06509568469507,99.2546917616812,108.06509568469507
79,SINK_M,SimpleCase,Actuator,M.B,13,1,8,1,ServiceA,0,110.0651790180284,110.0651790180284,103.94016493827162,110.0651790180284
91,COMP_M,SimpleCase,ServiceA,M.A,0,15,0,10,Sensor,4.968944099378882,111.00289242424248,115.97183652362136,103.0,111.00289242424248
86,SINK_M,SimpleCase,Actuator,M.B,11,1,6,1,ServiceA,0,111.06518356348295,111.06518356348295,109.00024353741478,111.06518356348295
98,COMP_M,SimpleCase,ServiceA,M.A,0,11,0,6,Sensor,10.0,112.0000935374149,122.0000935374149,110.0,112.0000935374149
87,SINK_M,SimpleCase,Actuator,M.B,8,1,3,1,ServiceA,0,112.06518810893749,112.06518810893749,109.8767954028588,112.06518810893749
100,COMP_M,SimpleCase,ServiceA,M.A,0,7,0,2,Sensor,8.98876404494382,113.00009999999992,121.98886404494374,112.0,113.00009999999992
99,COMP_M,SimpleCase,ServiceA,M.A,0,8,0,3,Sensor,9.876543209876543,113.00010219298238,122.87664540285893,111.0,113.00010219298238
85,COMP_M,SimpleCase,ServiceA,M.A,0,3,0,13,Sensor,2.272727272727273,113.0025044444445,115.27523171717176,96.0,113.0025044444445
93,COMP_M,SimpleCase,ServiceA,M.A,0,16,0,11,Sensor,5.031446540880503,113.00306052631585,118.03450706719636,105.0,113.00306052631585
83,SINK_M,SimpleCase,Actuator,M.B,14,1,9,1,ServiceA,0,113.06519265439204,113.06519265439204,108.0022277777778,113.06519265439204
88,SINK_M,SimpleCase,Actuator,M.B,9,1,4,1,ServiceA,0,114.06519719984658,114.06519719984658,110.93814819875756,114.06519719984658
101,COMP_M,SimpleCase,ServiceA,M.A,0,9,0,4,Sensor,9.937888198757763,115.00011833333325,124.93800653209101,113.0,115.00011833333325
94,COMP_M,SimpleCase,ServiceA,M.A,0,13,0,8,Sensor,4.938271604938271,115.00322666666673,119.941498271605,106.0,115.00322666666673
90,SINK_M,SimpleCase,Actuator,M.B,7,1,2,1,ServiceA,0,115.06520174530112,115.06520174530112,111.98878071161047,115.06520174530112
